classification,visual_type,attribute_key,theme_style_variants,theme_values,theme_pointers,catalog_count,catalog_style_variants,catalog_dominant_value,catalog_sample_value,catalog_sample_source,match_status
only_in_scans,advancedSlicerVisual,value[id=interaction:rest].transparency,,,,3,Style 2;Style 6,0,0,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/ada85ff105c703939409/visual.json,n/a
only_in_scans,advancedSlicerVisual,value[id=selection:selected].italic,,,,10,Style 1;Style 3;Style 4;Style 5,false,false,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,visualHeader.show,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,false,false,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,aiNarratives,background.color.solid.color,,,,7,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6;Style 7,"ThemeDataColor(ColorId=6,Percent=0)","ThemeDataColor(ColorId=6,Percent=0)",3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/8b7d2fbe96b61532e888/visual.json,n/a
only_in_scans,aiNarratives,background.show,,,,7,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6;Style 7,true,true,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/8b7d2fbe96b61532e888/visual.json,n/a
only_in_scans,aiNarratives,background.transparency,,,,7,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6;Style 7,5,5,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/8b7d2fbe96b61532e888/visual.json,n/a
only_in_scans,aiNarratives,border.color.solid.color,,,,7,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6;Style 7,"ThemeDataColor(ColorId=3,Percent=0)","ThemeDataColor(ColorId=3,Percent=0)",3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/8b7d2fbe96b61532e888/visual.json,n/a
only_in_scans,aiNarratives,border.radius,,,,7,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6;Style 7,6,6,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/8b7d2fbe96b61532e888/visual.json,n/a
only_in_scans,aiNarratives,border.show,,,,7,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6;Style 7,false,false,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/8b7d2fbe96b61532e888/visual.json,n/a
only_in_scans,aiNarratives,narrativeSelection.dismissSelectionScreen,,,,7,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6;Style 7,true,true,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/8b7d2fbe96b61532e888/visual.json,n/a
